name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
El Tor,EG,JNS,62459,HETR,28.2333,32.6167,21.0,Africa/Cairo,1938-11-01,2025-04-22,2009-04-26,2022-04-24,,,9385734.845513815
Astana / Prigorodnyy,KZ,AS,,UACC,51.0167,71.4667,354.0,Asia/Qyzylorda,1932-01-01,2025-04-23,2000-04-12,2022-04-25,2012-01-01,2022-01-01,9392752.23828643
H-5'Safawi,JO,MF,40260,OJHF,32.2,37.1333,668.0,Asia/Amman,1964-01-13,2025-04-03,1964-01-29,2025-04-10,1966-01-01,2021-01-01,9395088.661998177
Eseka / Eséka,CM,CEN,,FKKE,3.65,10.7667,227.0,Africa/Douala,1950-02-01,2025-02-04,,,,,9400817.661619047
Yoko,CM,CEN,64900,FKAY,5.55,12.3667,1027.0,Africa/Douala,1950-02-11,2025-04-14,,,1965-01-01,1993-01-01,9402050.341621459
Kapan,AM,VL,37959,,39.2,46.4333,704.0,Asia/Yerevan,1959-01-01,2021-12-15,1908-12-09,2021-09-30,1936-01-01,2021-01-01,9404448.891376387
Ovda,IL,S,40198,LLOV,30.0,34.8333,432.0,Asia/Jerusalem,1983-02-01,2019-03-31,1989-02-27,2018-04-08,2010-01-01,2010-01-01,9408062.268813659
Tal Lafar / Tel-Afer / Tall Afar / Tall Jam?l,IQ,NN,,ORTF,36.27,42.4,300.0,Asia/Baghdad,1988-11-20,2025-03-09,2005-05-24,2011-04-30,,,9408993.427154323
Bousso,TD,CB,64705,FTTS,10.4833,16.7167,334.0,Africa/Ndjamena,1973-01-01,2025-04-12,,,1953-01-01,1978-01-01,9420485.065468986
Pavlodar / Podstepka,KZ,PAV,,UASP,52.1833,77.0667,125.0,Asia/Almaty,1932-01-02,2025-04-23,2007-07-22,2022-04-25,2008-01-01,2022-01-01,9424835.612416638
Barnaul,RU,AL,29838,UNBB,53.4333,83.5167,252.0,Asia/Barnaul,1932-01-01,2025-04-23,1933-02-05,2025-04-09,1957-01-01,2022-01-01,9431768.777225817
Scerbakty / Mayskoye,KZ,PAV,36012,,52.35,78.3333,149.0,Asia/Almaty,1959-01-02,2025-04-02,1955-01-01,1991-12-31,1955-01-01,1991-01-01,9437733.506645326
Kharga,EG,WJD,62435,,25.45,30.5333,78.0,Africa/Cairo,1957-01-01,2025-04-11,1957-01-07,2025-04-12,1960-01-01,2021-01-01,9442449.562201593
H-4'Irwaished,JO,MF,40250,OJHR,32.5,38.2,686.0,Asia/Amman,1963-01-17,2024-10-16,1963-01-20,2020-04-02,1966-01-01,2020-01-01,9442679.005347969
Novokuznetsk / Spichenkovo / Luchshevo,RU,KEM,29846,UNWW,53.8167,86.8833,308.0,Asia/Krasnoyarsk,1955-07-01,2025-04-23,1967-07-01,2022-04-25,1967-01-01,2022-01-01,9447992.378963716
Aqaba Airport,JO,MN,40340,OJAQ,29.6333,35.0167,53.0,Asia/Amman,1961-07-01,2025-04-23,1999-02-20,2022-04-25,,,9449026.055043506
Mosul / Qaryat Y?rimjah,IQ,NN,69788,KQTU,36.32,43.15,223.0,Asia/Baghdad,1991-06-14,2023-05-11,2003-06-06,2008-12-30,,,9450624.184821796
Eilat,IL,S,40199,LLET,29.55,34.95,12.0,Asia/Jerusalem,1951-01-01,2025-04-23,1949-11-30,2025-03-09,1949-01-01,2021-01-01,9450771.33014112
Mosul,IQ,NI,40608,ORBM,36.3167,43.15,223.0,Asia/Baghdad,1937-01-11,2025-04-03,2005-01-02,2014-05-29,1949-01-01,2021-01-01,9450894.101278476
Yaounde,CM,CEN,64950,FKYS,3.8333,11.5167,751.0,Africa/Douala,1949-09-14,2025-04-23,2000-10-11,2022-03-29,1952-01-01,1993-01-01,9451698.239441883
Yaounde / Younde / Ekoumdoum,CM,CEN,,FKKY,3.8333,11.5333,751.0,Africa/Douala,1993-04-08,2025-02-04,,,,,9453113.120459951
Nizhneudinsk,RU,IRK,29698,UINN,54.8833,99.0333,410.0,Asia/Irkutsk,1932-01-04,2025-04-02,1933-02-19,2025-04-10,1940-01-01,2021-01-01,9455685.927489597
Ma'An,JO,MN,40310,OJMN,30.1667,35.7833,1069.0,Asia/Amman,1961-07-01,2025-04-03,1963-01-20,2025-04-08,1966-01-01,2022-01-01,9461128.972009629
Pars Abad Moghan,IR,EAZ,40700,,39.65,48.1333,45.0,Asia/Tehran,1989-01-02,2025-04-03,2017-01-13,2022-01-06,,,9461242.95143525
Aralskoe More,KZ,KZY,35746,UATA,46.7833,61.65,56.0,Asia/Aqtobe,1948-01-01,2025-04-02,1905-10-01,2025-04-11,1905-01-01,2021-01-01,9464292.400876962
Orumieh,IR,WEZ,40712,OITR,37.5333,45.0833,1297.0,Asia/Tehran,1949-11-01,2025-04-23,1949-11-01,2025-04-11,1949-01-01,2022-01-01,9465929.579293042
Guriat,SA,JF,40360,OEGT,31.4,37.2667,509.0,Asia/Riyadh,1970-01-01,2025-04-23,1985-02-26,2025-04-11,1983-01-01,2022-01-01,9466540.587774279
Akkuduk,KZ,MAN,38232,,42.9667,54.1167,-79.0,Asia/Aqtau,1957-07-01,2024-09-11,1949-11-01,2021-03-10,1949-01-01,2021-01-01,9481667.748617211
Ulutau / Ulyta?,KZ,KAR,35563,,48.65,67.0,632.0,Asia/Qyzylorda,1959-02-01,2025-04-02,1955-05-01,2021-03-18,1955-01-01,2021-01-01,9484475.741808454
Tabriz,IR,EAZ,40706,OITT,38.0833,46.2833,1367.0,Asia/Tehran,1957-07-01,2025-04-23,1951-01-01,2025-04-11,1951-01-01,2022-01-01,9489624.797835283
Puerto Aysen,CL,AI,85862,SCAS,-45.4,-72.6667,11.0,America/Santiago,1935-01-01,2024-09-13,,,1989-01-01,1994-01-01,9493770.324850313
Baku / Bine Airport,AZ,,37864,UBBB,40.45,50.0667,-6.0,Asia/Baku,1959-04-02,2025-04-23,2000-04-12,2022-04-25,2009-01-01,2022-01-01,9497185.950547973
Moundou,TD,LC,64706,FTTD,8.6167,16.0667,428.0,Africa/Ndjamena,1973-01-01,2025-04-22,1950-08-01,2023-10-05,1950-01-01,2021-01-01,9498303.88609851
Meiganga,CM,AD,64882,FKAM,6.5333,14.3667,1027.0,Africa/Douala,1973-01-01,2025-04-20,,,1983-01-01,1995-01-01,9502308.26447148
Ahar,IR,EAZ,40704,,38.4333,47.0667,1390.0,Asia/Tehran,1991-09-18,2025-04-03,,,,,9504846.961902894
Libreville,GA,ES,64500,FOOL,0.45,9.4167,12.0,Africa/Libreville,1949-04-01,2025-04-23,1973-02-09,2025-04-12,1949-01-01,2021-01-01,9514177.271958781
Lebjazje / Lebyazh’e,KZ,PAV,36015,,51.4833,77.7667,144.0,Asia/Almaty,1974-03-19,2025-04-02,1977-05-01,1991-12-31,1977-01-01,1991-01-01,9514661.89376485
Coyhaique,CL,AI,85864,SCCY,-45.5833,-72.1167,310.0,America/Santiago,1963-01-01,2025-02-26,1964-08-19,2025-04-08,1975-01-01,2021-01-01,9515736.079260746
Abakan / Kalinino,RU,KK,29865,UNAA,53.75,91.4,245.0,Asia/Krasnoyarsk,1999-01-14,2025-04-23,1999-01-29,2022-04-25,2005-01-01,2022-01-01,9516949.808937106
Shark El Oweinat,EG,WAD,,HEOW,22.5857,28.7166,262.0,Africa/Cairo,2001-07-13,2023-01-09,,,,,9518152.218212895
Abeche,TD,OU,64756,FTTC,13.85,20.85,545.0,Africa/Ndjamena,1950-03-06,2025-04-22,1950-01-01,2023-07-29,1949-01-01,2020-01-01,9525114.472788405
Port-Gentil,GA,OM,64501,FOOG,-0.7,8.75,3.0,Africa/Libreville,1949-03-07,2025-04-22,1950-01-01,2025-04-12,1949-01-01,2021-01-01,9539838.175535506
Maragheh / ?z?ar Bon?b,IR,EA,,OITM,37.348,46.1279,1340.0,Asia/Tehran,1991-09-07,2025-04-23,2009-04-22,2021-10-06,,,9542329.24395849
Turaif,SA,HS,40356,OETR,31.6833,38.7333,813.0,Asia/Riyadh,1951-04-06,2025-04-23,1963-03-07,2025-04-11,1974-01-01,2022-01-01,9542518.267720424
Hurguada,EG,BAM,62463,HEGN,27.15,33.7167,16.0,Africa/Cairo,1990-02-15,2025-04-23,1990-02-15,2025-04-12,1990-01-01,2021-01-01,9547114.643187914
Balmaceda,CL,AI,85874,SCBA,-45.9167,-71.6833,520.0,America/Santiago,1973-01-01,2025-04-23,1973-01-24,2025-04-08,1973-01-01,2022-01-01,9554247.189261833
Jaslyk,UZ,QR,38141,,43.8833,57.5167,128.0,Asia/Samarkand,1974-04-21,2025-04-03,1974-08-09,2025-04-11,1994-01-01,2021-01-01,9558014.036546005
Comodoro Rivadavia Aerodrome,AR,U,87860,SAVC,-45.7833,-67.5,58.0,America/Argentina/Rio_Gallegos,1957-06-30,2025-04-23,1956-02-01,2025-04-08,1956-01-01,2022-01-01,9563660.11168796
Karaganda,KZ,KAR,35394,UAKK,49.8,73.15,553.0,Asia/Almaty,1948-01-01,2025-04-23,1932-10-01,2025-04-11,1932-01-01,2022-01-01,9565255.637486504
Mohabad,IR,WEZ,40726,,36.7667,45.7167,1384.0,Asia/Tehran,1989-01-01,2025-04-03,,,,,9566980.59224928
Bitam,GA,WN,64510,FOOB,2.0833,11.4833,600.0,Africa/Libreville,1973-01-01,2025-04-11,1954-01-01,2023-10-05,1953-01-01,2021-01-01,9573561.510363087
Sarab,IR,EAZ,40710,,37.9333,47.5333,1500.0,Asia/Tehran,1989-09-01,2025-04-03,,,,,9573615.587104537
Hawijah / Haweejah / Qaryat ‘Ab?sh,IQ,TM,,KQON,35.3,43.82,193.0,Asia/Baghdad,1990-08-19,2021-12-24,1991-01-18,2021-12-23,,,9575097.576716771
Lenkoran / ?ilavar,AZ,LA,,UBBL,38.7464,48.818,9.0,Asia/Baku,1932-01-01,2025-04-23,2011-07-03,2022-04-22,,,9576204.40118795
Kazalinsk,KZ,KZY,35849,,45.7667,62.1167,68.0,Asia/Aqtobe,1934-02-01,2025-04-02,1881-01-01,2021-03-10,1881-01-01,2021-01-01,9579371.884341257
Abong-Mbang,CM,ES,64960,FKAG,3.9667,13.2,693.0,Africa/Douala,1973-01-01,2025-04-19,,,1983-01-01,1996-01-01,9585643.61072354
Bertoua / Mandjou,CM,ES,64930,FKKO,4.6,13.7333,668.0,Africa/Douala,1950-02-01,2025-04-20,2001-09-19,2020-10-14,,,9585968.146039637
Luxor,EG,QIN,62405,HELX,25.6667,32.7,93.0,Africa/Cairo,1943-11-30,2025-04-23,1943-12-01,2022-04-25,1944-01-01,2020-01-01,9586135.339486713
Zhezkazgan,KZ,KAR,35671,UAKD,47.8,67.7167,345.0,Asia/Qyzylorda,1948-01-02,2025-04-23,1948-03-15,2025-04-09,1959-01-01,2022-01-01,9592846.853913244
Semijarka,KZ,VOS,36152,,50.8667,78.35,148.0,Asia/Almaty,1948-01-01,2025-04-02,1936-01-01,2021-03-10,1936-01-01,2021-01-01,9593061.730207494
Troickoe,RU,KHA,31655,UHHO,49.45,136.5667,29.0,Asia/Sakhalin,1947-12-31,2025-04-02,1936-01-01,2025-04-09,1936-01-01,2021-01-01,9599210.179444786
Perito Moreno Aerodrome,AR,Z,87852,SAWP,-46.5167,-71.0167,429.0,America/Argentina/Rio_Gallegos,1939-02-18,2025-02-20,1967-07-04,2025-04-08,1977-01-01,2021-01-01,9623501.1083746
Chile Chico,CL,AI,85886,SCCC,-46.55,-71.7,325.0,America/Santiago,1963-01-01,2025-02-17,,,,,9624530.5235518
Saghez,IR,KRD,40727,OITS,36.25,46.2667,1493.0,Asia/Tehran,1973-01-01,2025-04-03,,,,,9642590.03492793
Yuzhno-Sakhalinsk,RU,SAK,32150,UHSS,46.95,142.7167,31.0,Asia/Magadan,1953-02-16,2025-04-23,1947-01-01,2025-04-10,1947-01-01,2022-01-01,9649167.202451846
Batouri,CM,ES,64931,FKKI,4.4667,14.3667,656.0,Africa/Douala,1950-02-01,2025-04-20,,,1952-01-01,1994-01-01,9649381.213390293
Bouar,CF,NMM,64601,FEFO,5.9667,15.6333,1019.0,Asia/Colombo,1950-09-18,2025-04-13,1973-01-03,2025-04-12,1952-01-01,2021-01-01,9650203.32852507
Zharyk,KZ,KAR,35497,,48.85,72.8667,656.0,Asia/Almaty,1953-02-16,2025-04-02,1936-01-01,2021-03-18,1936-01-01,2021-01-01,9653523.848250376
Sarh,TD,MC,64750,FTTA,9.15,18.3833,365.0,Africa/Ndjamena,1949-04-08,2025-04-22,1950-01-01,2024-04-17,1949-01-01,2021-01-01,9655671.330390692
Tabuk,SA,TB,40375,OETB,28.3667,36.6,778.0,Asia/Riyadh,1973-01-01,2025-04-23,1973-01-01,2025-04-09,1967-01-01,2022-01-01,9657606.362600949
Kosseir,EG,BAM,62465,,26.1333,34.2167,9.0,Africa/Cairo,1938-10-02,2025-04-12,,,,,9660957.932225937
Lambarene,GA,MO,64551,FOGR,-0.7167,10.2333,27.0,Africa/Libreville,1949-12-06,2025-04-13,1973-01-11,2023-10-05,1951-01-01,2021-01-01,9667168.98370271
Mitzic,GA,WN,64552,FOOM,0.7833,11.5333,583.0,Africa/Libreville,1949-12-02,2023-02-25,1950-01-01,2006-01-27,1950-01-01,2004-01-01,9670622.228940876
Lomie,CM,ES,64961,FKAL,3.15,13.6167,624.0,Africa/Douala,1973-01-01,2025-01-07,,,,,9679339.541595185
Am-Timan,TD,SA,64754,FTTN,11.0333,20.2833,433.0,Africa/Ndjamena,1973-01-01,2025-04-13,1973-03-03,2024-10-25,1952-01-01,2013-01-01,9680049.961157434
Dzhusaly,KZ,KZY,35953,,45.5,64.0833,101.0,Asia/Aqtobe,1948-01-02,2025-04-02,1936-01-01,2021-03-10,1936-01-01,2021-01-01,9683016.669042459
Geneina,SD,WF,62770,HSGN,13.4833,22.45,805.0,Africa/Khartoum,1943-04-01,2023-04-10,1943-04-01,2023-04-03,1943-01-01,2021-01-01,9683337.45290937
Semipalatinsk,KZ,VOS,36177,UASS,50.4167,80.3,196.0,Asia/Almaty,1932-01-01,2025-04-23,1901-11-01,2025-04-11,1901-01-01,2022-01-01,9685745.312450381
Kungrad,UZ,QR,38149,,43.0833,58.9333,64.0,Asia/Samarkand,1948-01-01,2025-04-03,1948-04-09,2025-04-11,1978-01-01,2022-01-01,9695606.544466782
Cochrane,CL,AI,85892,SCHR,-47.2333,-72.55,167.0,America/Santiago,1963-01-01,2025-02-17,2021-03-16,2021-03-16,,,9697811.44633652
Karak / Shalqasqaat,KZ,KZY,38051,,44.8833,63.1667,92.0,Asia/Aqtobe,1959-01-01,2025-04-03,1959-01-01,2025-04-11,1975-01-01,2021-01-01,9705862.04843995
Habbaniyah / Mad?nat al ?abb?n?yah,IQ,AB,40648,ORBH,33.3833,43.5667,44.0,Asia/Baghdad,1937-01-05,2019-07-14,1944-06-01,2009-11-26,1944-01-01,1974-01-01,9717200.609546347
Asswan,EG,ASW,62414,HESN,23.9667,32.7833,200.0,Africa/Cairo,1937-01-03,2025-04-23,1957-01-12,2025-04-12,1957-01-01,2022-01-01,9721351.127508065
Anzali,IR,GIL,40718,,37.4667,49.4667,-23.0,Asia/Tehran,1932-01-02,2025-04-03,1950-01-01,2025-04-11,1950-01-01,2021-01-01,9722217.055331107
Normandy FOB / Al ‘Al?m?t,IQ,DY,,KQOK,34.33,45.0,80.0,Asia/Baghdad,1987-05-15,2024-01-11,1990-09-24,1990-12-24,,,9727315.91484863
Zanjan,IR,ZAN,40729,OITZ,36.6833,48.4833,1663.0,Asia/Tehran,1973-01-01,2025-04-22,1973-01-01,2025-04-11,1990-01-01,2021-01-01,9734100.802595915
Habarovsk,RU,KHA,31735,UHHH,48.5167,135.1667,72.0,Asia/Sakhalin,1931-12-31,2025-04-23,1932-12-31,2025-04-10,1948-01-01,2022-01-01,9734946.646279348
Chita,RU,CHI,30758,UIAA,52.0833,113.4833,685.0,Asia/Yakutsk,1932-01-01,2025-04-23,1890-05-15,2025-04-10,1890-01-01,2022-01-01,9747261.35261621
Chimbaj,UZ,QR,38262,,42.95,59.8167,66.0,Asia/Samarkand,1932-06-02,2025-04-03,1936-07-04,2025-04-11,1937-01-01,2022-01-01,9747294.920187717
Rasht,IR,GIL,40719,OIGG,37.2,49.6333,-7.0,Asia/Tehran,1973-01-01,2025-04-22,2005-01-27,2022-04-25,2017-01-01,2022-01-01,9754520.91829109
Abu Simbel,EG,ASW,62419,HEBL,22.3667,31.6167,188.0,Africa/Cairo,1973-07-23,2025-04-23,2006-03-27,2022-04-19,,,9755177.907421723
War Horse FOB / Ta?w?lah,IQ,DY,,KQOL,33.77,44.7,45.0,Asia/Baghdad,1991-01-01,2021-12-12,,,,,9755495.615242882
Irkutsk,RU,IR,30710,UIII,52.2667,104.3167,513.0,Asia/Irkutsk,1932-01-01,2025-04-23,1882-01-01,2025-04-10,1882-01-01,2022-01-01,9760937.568263818
Horinsk,RU,BU,30739,UIUH,52.1667,109.7833,666.0,Asia/Irkutsk,1948-01-01,2025-04-02,1936-01-01,2025-04-10,1936-01-01,2021-01-01,9760981.341629524
Sanandaj,IR,KRD,40747,OICS,35.3333,47.0,1373.0,Asia/Tehran,1973-01-01,2025-04-23,1973-01-01,2025-04-11,1978-01-01,2021-01-01,9762993.934944423
Leninogorsk,KZ,VOS,36208,,50.3333,83.55,809.0,Asia/Almaty,1959-01-02,2025-04-02,1936-01-02,2022-01-22,1936-01-01,2021-01-01,9763419.080807965
Arar,SA,HS,40357,OERR,30.9,41.1333,555.0,Asia/Riyadh,1951-04-07,2025-04-23,1963-03-07,2025-04-09,1978-01-01,2022-01-01,9763667.61439652
Baghdad / Tall Raml,IQ,BG,,ORBI,33.2625,44.2346,35.0,Asia/Baghdad,1937-01-04,2025-04-23,1973-04-09,2022-04-24,,,9768780.38714029
Al-Jouf,SA,JF,40361,OESK,29.7833,40.1,689.0,Asia/Riyadh,1973-01-01,2025-04-23,1974-05-12,2025-04-11,1978-01-01,2022-01-01,9784967.018619888
Nukus,UZ,QR,38264,,42.45,59.6167,77.0,Asia/Samarkand,1959-11-01,2025-04-03,1936-06-01,2025-03-04,1936-01-01,2021-01-01,9785079.381801855
